wall_time,step,loss
1785277040.008678,1,8.913049697875977
1785277040.2555969,2,8.947616577148438
1785277040.5169656,3,8.526382446289062
1785277040.7729142,4,8.850950241088867
1785277041.04297,5,8.453192710876465
1785277041.311145,6,8.833919525146484
1785277041.54796,7,8.71159553527832
1785277041.8149624,8,8.773157119750977
1785277042.0548382,9,8.632789611816406
1785277042.3041248,10,8.80231761932373
1785277042.5567856,11,8.347272872924805
1785277042.8068328,12,8.220093727111816
1785277043.058805,13,8.575353622436523
1785277043.3078387,14,8.20485782623291
1785277043.547613,15,8.090537071228027
1785277043.811195,16,8.45249080657959
1785277044.054741,17,8.278005599975586
1785277044.2984903,18,7.962997913360596
1785277044.5378478,19,8.415772438049316
1785277044.7709827,20,8.084993362426758
1785277045.0198946,21,8.254859924316406
1785277045.2635736,22,7.229677200317383
1785277045.504472,23,7.085909843444824
1785277045.7510371,24,7.931191921234131
1785277045.987469,25,8.401634216308594
1785277046.2360454,26,8.567643165588379
1785277046.4710288,27,7.572211265563965
1785277046.7175064,28,7.654892444610596
1785277046.9640515,29,6.863659381866455
1785277047.1979756,30,7.5552978515625
1785277047.432394,31,7.346494674682617
1785277047.6695511,32,6.897940158843994
1785277047.909092,33,6.650898456573486
1785277048.137281,34,7.479631423950195
1785277048.36387,35,7.205370903015137
1785277048.5925825,36,6.9005327224731445
1785277048.837801,37,6.649964332580566
1785277049.0683637,38,7.219132900238037
1785277049.2989223,39,7.008673667907715
1785277049.5527859,40,6.715798377990723
1785277049.7877288,41,6.111171722412109
1785277050.0190449,42,6.761235237121582
1785277050.2482696,43,7.200334548950195
1785277050.4771926,44,6.694864273071289
1785277050.711609,45,6.555411338806152
1785277050.9429278,46,6.186249732971191
1785277051.172492,47,6.685947895050049
1785277051.4042544,48,6.688488960266113
1785277051.6316538,49,5.673714637756348
1785277051.8625457,50,6.721436023712158
1785277052.1052592,51,6.73626708984375
1785277052.346665,52,6.75959587097168
1785277052.5990386,53,6.644580364227295
1785277052.8436167,54,6.457389831542969
1785277053.099082,55,6.045961856842041
1785277053.3701177,56,6.029348850250244
1785277053.6254587,57,5.7591657638549805
1785277053.868682,58,6.6014180183410645
1785277054.1065483,59,6.359554767608643
1785277054.3674781,60,6.447039604187012
1785277054.6134763,61,6.54382848739624
1785277054.8637567,62,6.665951251983643
1785277055.0998836,63,5.330268383026123
1785277055.3679411,64,5.961511611938477
1785277055.606855,65,6.138312339782715
1785277055.8455448,66,6.154473304748535
1785277056.086122,67,6.060652256011963
1785277056.340318,68,5.683793544769287
1785277056.5899165,69,5.492552757263184
1785277056.8289893,70,6.258944511413574
1785277057.091692,71,6.065345287322998
1785277057.329208,72,6.888504981994629
1785277057.5654883,73,5.977059841156006
1785277057.8044958,74,5.8335161209106445
1785277058.0655603,75,5.418875217437744
1785277058.3239841,76,5.982149600982666
1785277058.5600383,77,5.971823692321777
1785277058.8066483,78,5.168203830718994
1785277059.0780559,79,6.31449556350708
1785277059.3322558,80,5.872600078582764
1785277059.573233,81,6.2307329177856445
1785277059.812915,82,4.6139960289001465
1785277060.0578232,83,5.540832042694092
1785277060.2963533,84,5.599610328674316
1785277060.5466363,85,5.5596699714660645
1785277060.781073,86,5.504702568054199
1785277061.0255256,87,6.247142314910889
1785277061.279488,88,6.048510551452637
1785277061.522515,89,4.985631942749023
1785277061.792042,90,6.111704349517822
1785277062.034713,91,5.740773677825928
1785277062.2798376,92,5.704191207885742
1785277062.5331068,93,5.157493591308594
1785277062.7786565,94,5.933254241943359
1785277063.0269818,95,6.547677993774414
1785277063.2955937,96,6.043647766113281
1785277063.5527682,97,6.019439697265625
1785277063.8001552,98,6.459418773651123
1785277064.0310156,99,5.9739274978637695
1785277064.268754,100,5.80711555480957
1785277064.5030062,101,5.789902210235596
1785277064.7460055,102,5.451539516448975
1785277064.9834976,103,5.212601184844971
1785277065.2318568,104,5.3696417808532715
1785277065.4701602,105,5.396833896636963
1785277065.7016296,106,5.787125587463379
1785277065.936439,107,3.880547523498535
1785277066.1914685,108,5.801069259643555
1785277066.4350188,109,5.261049270629883
1785277066.6748228,110,5.1763105392456055
1785277066.9325695,111,5.571914196014404
1785277067.169613,112,5.4189910888671875
1785277067.4088407,113,5.834997653961182
1785277067.6530406,114,5.842289447784424
1785277067.896936,115,5.953766822814941
1785277068.1329474,116,5.680552005767822
1785277068.3803058,117,5.109400272369385
1785277068.6200445,118,5.405335426330566
1785277068.8631017,119,5.452752113342285
1785277069.1006804,120,5.650695323944092
1785277069.3687067,121,4.677085876464844
1785277069.611125,122,5.154996871948242
1785277069.874874,123,5.064079284667969
1785277070.1121318,124,5.919468879699707
1785277070.346785,125,5.056172847747803
1785277070.5843976,126,5.1131591796875
1785277070.8247135,127,5.321898460388184
1785277071.0659952,128,6.262625217437744
1785277071.328395,129,4.546113967895508
1785277071.5750556,130,5.916534423828125
1785277071.8082395,131,5.776802062988281
1785277072.056062,132,5.4656476974487305
1785277072.2935002,133,5.347168922424316
1785277072.5356376,134,4.967766284942627
1785277072.7771251,135,5.710387706756592
1785277073.0288808,136,5.360780239105225
1785277073.268259,137,5.289938926696777
1785277073.5134366,138,5.041895389556885
1785277073.756119,139,5.434814929962158
1785277074.0092483,140,4.747064113616943
1785277074.2510636,141,4.795642852783203
1785277074.4897516,142,5.605827331542969
1785277074.7383204,143,4.396409034729004
1785277074.9736667,144,7.246432781219482
1785277075.230112,145,5.117218017578125
1785277075.4664485,146,5.380384922027588
1785277075.7005067,147,5.113678455352783
1785277075.9398315,148,4.572943210601807
1785277076.1743731,149,4.465654373168945
1785277076.4239254,150,4.814124584197998
1785277076.6705613,151,4.813330173492432
1785277076.9100108,152,4.747342109680176
1785277077.145593,153,5.694952011108398
1785277077.403546,154,5.2869720458984375
1785277077.6478255,155,5.442882537841797
1785277077.8880618,156,4.888960838317871
1785277078.1331599,157,5.563086032867432
1785277078.4040415,158,6.09130859375
1785277078.648494,159,3.9655895233154297
1785277078.8883998,160,5.821950912475586
1785277079.1267912,161,5.479110240936279
1785277079.376585,162,5.834545612335205
1785277079.619428,163,4.520036697387695
1785277079.858261,164,4.827807903289795
1785277080.0937014,165,5.063562870025635
1785277080.3314676,166,5.025705337524414
1785277080.5865645,167,4.413228988647461
1785277080.822578,168,4.815208911895752
1785277081.0686228,169,3.929661273956299
1785277081.338411,170,4.870657920837402
1785277081.6005044,171,5.4524102210998535
1785277081.8574939,172,5.162532329559326
